index	prediction
704	not_entailment
705	entailment
706	entailment
707	not_entailment
708	not_entailment
709	entailment
710	entailment
711	entailment
712	not_entailment
713	not_entailment
714	entailment
715	entailment
716	entailment
717	not_entailment
718	entailment
719	entailment
720	entailment
721	not_entailment
722	entailment
723	entailment
724	not_entailment
725	entailment
726	entailment
727	entailment
728	not_entailment
729	not_entailment
730	entailment
731	entailment
732	entailment
733	not_entailment
734	entailment
735	entailment
736	not_entailment
737	not_entailment
738	entailment
739	entailment
740	entailment
741	entailment
742	entailment
743	entailment
744	entailment
745	not_entailment
746	entailment
747	not_entailment
748	entailment
749	entailment
750	entailment
751	not_entailment
752	not_entailment
753	not_entailment
754	not_entailment
755	entailment
756	not_entailment
757	entailment
758	not_entailment
759	not_entailment
760	entailment
761	entailment
762	entailment
763	entailment
764	entailment
765	entailment
766	entailment
767	entailment
768	entailment
769	entailment
770	entailment
771	entailment
772	entailment
773	entailment
774	entailment
775	entailment
776	entailment
777	entailment
778	entailment
779	not_entailment
780	entailment
781	not_entailment
782	not_entailment
783	not_entailment
784	entailment
785	not_entailment
786	entailment
787	not_entailment
788	entailment
789	entailment
790	not_entailment
791	entailment
792	entailment
793	entailment
794	entailment
795	not_entailment
796	entailment
797	not_entailment
798	entailment
799	entailment
800	entailment
801	not_entailment
802	entailment
803	entailment
804	not_entailment
805	entailment
806	entailment
807	not_entailment
808	not_entailment
809	entailment
810	not_entailment
811	entailment
812	entailment
813	not_entailment
814	entailment
815	entailment
816	entailment
817	entailment
818	not_entailment
819	not_entailment
820	entailment
821	not_entailment
822	not_entailment
823	entailment
824	entailment
825	entailment
826	not_entailment
827	entailment
828	not_entailment
829	entailment
830	entailment
831	not_entailment
832	entailment
833	entailment
834	not_entailment
835	entailment
836	not_entailment
837	not_entailment
838	not_entailment
839	entailment
840	entailment
841	entailment
842	entailment
843	entailment
844	not_entailment
845	entailment
846	not_entailment
847	entailment
848	entailment
849	entailment
850	entailment
851	entailment
852	entailment
853	not_entailment
854	entailment
855	entailment
856	entailment
857	entailment
858	entailment
859	entailment
860	entailment
861	entailment
862	not_entailment
863	not_entailment
864	not_entailment
865	entailment
866	entailment
867	not_entailment
868	entailment
869	entailment
870	entailment
871	entailment
872	entailment
873	entailment
874	not_entailment
875	entailment
876	entailment
877	entailment
878	entailment
879	not_entailment
880	entailment
881	entailment
882	entailment
883	not_entailment
884	entailment
885	not_entailment
886	entailment
887	entailment
888	entailment
889	not_entailment
890	entailment
891	entailment
892	entailment
893	not_entailment
894	entailment
895	not_entailment
896	entailment
897	entailment
898	entailment
899	entailment
900	not_entailment
901	entailment
902	entailment
903	not_entailment
904	not_entailment
905	entailment
906	entailment
907	entailment
908	entailment
909	entailment
910	entailment
911	entailment
912	entailment
913	entailment
914	not_entailment
915	entailment
916	entailment
917	entailment
918	entailment
919	entailment
920	not_entailment
921	entailment
922	entailment
923	not_entailment
924	not_entailment
925	entailment
926	entailment
927	entailment
928	entailment
929	entailment
930	entailment
931	not_entailment
932	entailment
933	entailment
934	entailment
935	entailment
936	entailment
937	entailment
938	not_entailment
939	entailment
940	entailment
941	entailment
942	entailment
943	entailment
944	entailment
945	entailment
946	entailment
947	entailment
948	entailment
949	entailment
950	not_entailment
951	entailment
952	not_entailment
953	entailment
954	not_entailment
955	not_entailment
956	entailment
957	entailment
958	entailment
959	entailment
960	entailment
961	not_entailment
962	entailment
963	not_entailment
964	not_entailment
965	entailment
966	entailment
967	entailment
968	entailment
969	not_entailment
970	entailment
971	entailment
972	entailment
973	entailment
974	entailment
975	not_entailment
976	entailment
977	entailment
978	entailment
979	not_entailment
980	entailment
981	entailment
982	entailment
983	not_entailment
984	entailment
985	not_entailment
986	entailment
987	entailment
988	entailment
989	entailment
990	entailment
991	entailment
992	entailment
993	entailment
994	entailment
995	entailment
996	entailment
997	entailment
998	entailment
999	entailment
1000	not_entailment
1001	entailment
1002	not_entailment
1003	entailment
1004	not_entailment
1005	entailment
1006	entailment
1007	entailment
1008	entailment
1009	entailment
1010	entailment
1011	entailment
1012	entailment
1013	entailment
1014	entailment
1015	not_entailment
1016	entailment
1017	entailment
1018	entailment
1019	not_entailment
1020	entailment
1021	entailment
1022	not_entailment
1023	not_entailment
1024	not_entailment
1025	not_entailment
1026	entailment
1027	not_entailment
1028	entailment
1029	entailment
1030	not_entailment
1031	entailment
1032	not_entailment
1033	entailment
1034	entailment
1035	not_entailment
1036	not_entailment
1037	not_entailment
1038	entailment
1039	not_entailment
1040	not_entailment
1041	entailment
1042	entailment
1043	not_entailment
1044	not_entailment
1045	entailment
1046	not_entailment
1047	entailment
1048	entailment
1049	entailment
1050	not_entailment
1051	entailment
1052	not_entailment
1053	not_entailment
1054	not_entailment
1055	entailment
1056	entailment
1057	entailment
1058	entailment
1059	not_entailment
1060	entailment
1061	entailment
1062	not_entailment
1063	entailment
1064	entailment
1065	entailment
1066	entailment
1067	not_entailment
1068	entailment
1069	entailment
1070	entailment
1071	entailment
1072	not_entailment
1073	entailment
1074	entailment
1075	not_entailment
1076	not_entailment
1077	not_entailment
1078	entailment
1079	not_entailment
1080	not_entailment
1081	entailment
1082	entailment
1083	not_entailment
1084	not_entailment
1085	entailment
1086	entailment
1087	entailment
1088	entailment
1089	not_entailment
1090	entailment
1091	entailment
1092	entailment
1093	not_entailment
1094	not_entailment
1095	not_entailment
1096	entailment
1097	entailment
1098	entailment
1099	entailment
1100	entailment
1101	entailment
1102	entailment
1103	entailment
1104	entailment
1105	entailment
1106	entailment
1107	not_entailment
1108	entailment
1109	entailment
1110	not_entailment
1111	not_entailment
1112	entailment
1113	not_entailment
1114	not_entailment
1115	entailment
1116	entailment
1117	not_entailment
1118	not_entailment
1119	entailment
1120	entailment
1121	not_entailment
1122	not_entailment
1123	entailment
1124	entailment
1125	entailment
1126	entailment
1127	not_entailment
1128	entailment
1129	not_entailment
1130	entailment
1131	not_entailment
1132	entailment
1133	entailment
1134	not_entailment
1135	entailment
1136	not_entailment
1137	entailment
1138	entailment
1139	entailment
1140	entailment
1141	entailment
1142	entailment
1143	not_entailment
1144	entailment
1145	entailment
1146	not_entailment
1147	entailment
1148	not_entailment
1149	not_entailment
1150	entailment
1151	entailment
1152	entailment
1153	not_entailment
1154	entailment
1155	not_entailment
1156	entailment
1157	entailment
1158	not_entailment
1159	not_entailment
1160	entailment
1161	entailment
1162	entailment
1163	entailment
1164	not_entailment
1165	not_entailment
1166	entailment
1167	entailment
1168	entailment
1169	entailment
1170	entailment
1171	entailment
1172	entailment
1173	not_entailment
1174	not_entailment
1175	not_entailment
1176	entailment
1177	entailment
1178	not_entailment
1179	not_entailment
1180	entailment
1181	entailment
1182	entailment
1183	not_entailment
1184	not_entailment
1185	entailment
1186	not_entailment
1187	entailment
1188	entailment
1189	entailment
1190	entailment
1191	entailment
1192	entailment
1193	entailment
1194	entailment
1195	entailment
1196	entailment
1197	not_entailment
1198	not_entailment
1199	entailment
1200	not_entailment
1201	entailment
1202	not_entailment
1203	entailment
1204	not_entailment
1205	not_entailment
1206	not_entailment
1207	entailment
1208	entailment
1209	entailment
1210	entailment
1211	entailment
1212	entailment
1213	not_entailment
1214	entailment
1215	entailment
1216	entailment
1217	entailment
1218	entailment
1219	entailment
1220	entailment
1221	entailment
1222	entailment
1223	entailment
1224	not_entailment
1225	not_entailment
1226	entailment
1227	entailment
1228	entailment
1229	not_entailment
1230	not_entailment
1231	not_entailment
1232	entailment
1233	entailment
1234	entailment
1235	entailment
1236	entailment
1237	entailment
1238	not_entailment
1239	entailment
1240	entailment
1241	entailment
1242	not_entailment
1243	entailment
1244	entailment
1245	entailment
1246	entailment
1247	entailment
1248	entailment
1249	entailment
1250	entailment
1251	entailment
1252	entailment
1253	entailment
1254	not_entailment
1255	not_entailment
1256	entailment
1257	entailment
1258	not_entailment
1259	entailment
1260	entailment
1261	entailment
1262	not_entailment
1263	not_entailment
1264	not_entailment
1265	entailment
1266	entailment
1267	not_entailment
1268	entailment
1269	entailment
1270	entailment
1271	entailment
1272	entailment
1273	entailment
1274	not_entailment
1275	entailment
1276	entailment
1277	entailment
1278	entailment
1279	entailment
1280	not_entailment
1281	entailment
1282	entailment
1283	entailment
1284	entailment
1285	not_entailment
1286	entailment
1287	entailment
1288	entailment
1289	entailment
1290	not_entailment
1291	entailment
1292	entailment
1293	entailment
1294	entailment
1295	entailment
1296	entailment
1297	entailment
1298	not_entailment
1299	not_entailment
1300	not_entailment
1301	entailment
1302	entailment
1303	not_entailment
1304	not_entailment
1305	entailment
1306	not_entailment
1307	not_entailment
1308	entailment
1309	not_entailment
1310	entailment
1311	entailment
1312	entailment
1313	entailment
1314	entailment
1315	not_entailment
1316	entailment
1317	not_entailment
1318	entailment
1319	entailment
1320	entailment
1321	entailment
1322	entailment
1323	entailment
1324	entailment
1325	entailment
1326	entailment
1327	entailment
1328	not_entailment
1329	entailment
1330	entailment
1331	entailment
1332	entailment
1333	entailment
1334	not_entailment
1335	entailment
1336	entailment
1337	entailment
1338	entailment
1339	entailment
1340	entailment
1341	entailment
1342	not_entailment
1343	entailment
1344	not_entailment
1345	entailment
1346	not_entailment
1347	entailment
1348	entailment
1349	not_entailment
1350	entailment
1351	not_entailment
1352	entailment
1353	not_entailment
1354	entailment
1355	not_entailment
1356	entailment
1357	entailment
1358	entailment
1359	entailment
1360	entailment
1361	entailment
1362	entailment
1363	entailment
1364	not_entailment
1365	entailment
1366	entailment
1367	not_entailment
1368	entailment
1369	not_entailment
1370	not_entailment
1371	entailment
1372	not_entailment
1373	not_entailment
1374	entailment
1375	entailment
1376	not_entailment
1377	entailment
1378	entailment
1379	entailment
1380	entailment
1381	entailment
1382	entailment
1383	entailment
1384	entailment
1385	entailment
1386	not_entailment
1387	entailment
1388	not_entailment
1389	entailment
1390	entailment
1391	not_entailment
1392	entailment
1393	not_entailment
1394	entailment
1395	not_entailment
1396	not_entailment
1397	not_entailment
1398	entailment
1399	entailment
1400	not_entailment
1401	entailment
1402	entailment
1403	entailment
1404	not_entailment
1405	entailment
1406	entailment
1407	entailment
1408	entailment
1409	entailment
1410	entailment
1411	entailment
1412	entailment
1413	not_entailment
1414	entailment
1415	entailment
1416	entailment
1417	not_entailment
1418	entailment
1419	entailment
1420	entailment
1421	entailment
1422	entailment
1423	not_entailment
1424	entailment
1425	entailment
1426	entailment
1427	entailment
1428	entailment
1429	not_entailment
1430	entailment
1431	not_entailment
1432	entailment
1433	entailment
1434	entailment
1435	entailment
1436	not_entailment
1437	entailment
1438	entailment
1439	entailment
1440	entailment
1441	entailment
1442	entailment
1443	entailment
1444	entailment
1445	entailment
1446	not_entailment
1447	not_entailment
1448	entailment
1449	entailment
1450	entailment
1451	not_entailment
1452	entailment
1453	not_entailment
1454	not_entailment
1455	not_entailment
1456	not_entailment
1457	entailment
1458	entailment
1459	entailment
1460	entailment
1461	entailment
1462	not_entailment
1463	not_entailment
1464	entailment
1465	entailment
1466	entailment
1467	not_entailment
1468	entailment
1469	entailment
1470	entailment
1471	entailment
1472	not_entailment
1473	entailment
1474	entailment
1475	entailment
1476	entailment
1477	entailment
1478	not_entailment
1479	entailment
1480	not_entailment
1481	not_entailment
1482	not_entailment
1483	entailment
1484	entailment
1485	not_entailment
1486	entailment
1487	not_entailment
1488	not_entailment
1489	entailment
1490	entailment
1491	entailment
1492	entailment
1493	entailment
1494	not_entailment
1495	not_entailment
1496	not_entailment
1497	entailment
1498	entailment
1499	entailment
1500	not_entailment
1501	not_entailment
1502	not_entailment
1503	not_entailment
1504	entailment
1505	entailment
1506	entailment
1507	entailment
1508	entailment
1509	entailment
1510	not_entailment
1511	entailment
1512	entailment
1513	not_entailment
1514	entailment
1515	not_entailment
1516	entailment
1517	not_entailment
1518	entailment
1519	entailment
1520	not_entailment
1521	entailment
1522	entailment
1523	entailment
1524	entailment
1525	not_entailment
1526	entailment
1527	not_entailment
1528	not_entailment
1529	entailment
1530	entailment
1531	entailment
1532	not_entailment
1533	entailment
1534	not_entailment
1535	not_entailment
1536	entailment
1537	entailment
1538	not_entailment
1539	entailment
1540	entailment
1541	entailment
1542	entailment
1543	not_entailment
1544	entailment
1545	not_entailment
1546	entailment
1547	entailment
1548	entailment
1549	entailment
1550	entailment
1551	not_entailment
1552	not_entailment
1553	entailment
1554	entailment
1555	entailment
1556	not_entailment
1557	entailment
1558	entailment
1559	not_entailment
1560	not_entailment
1561	not_entailment
1562	entailment
1563	entailment
1564	not_entailment
1565	entailment
1566	entailment
1567	not_entailment
1568	entailment
1569	entailment
1570	entailment
1571	entailment
1572	entailment
1573	entailment
1574	entailment
1575	not_entailment
1576	entailment
1577	entailment
1578	entailment
1579	not_entailment
1580	entailment
1581	entailment
1582	not_entailment
1583	not_entailment
1584	entailment
1585	entailment
1586	entailment
1587	not_entailment
1588	not_entailment
1589	not_entailment
1590	not_entailment
1591	not_entailment
1592	entailment
1593	entailment
1594	not_entailment
1595	entailment
1596	not_entailment
1597	not_entailment
1598	not_entailment
1599	not_entailment
1600	not_entailment
1601	entailment
1602	entailment
1603	entailment
1604	entailment
1605	not_entailment
1606	entailment
1607	entailment
1608	not_entailment
1609	entailment
1610	entailment
1611	entailment
1612	entailment
1613	entailment
1614	entailment
1615	entailment
1616	entailment
1617	not_entailment
1618	entailment
1619	not_entailment
1620	not_entailment
1621	not_entailment
1622	not_entailment
1623	entailment
1624	entailment
1625	not_entailment
1626	entailment
1627	entailment
1628	entailment
1629	entailment
1630	entailment
1631	entailment
1632	entailment
1633	entailment
1634	not_entailment
1635	not_entailment
1636	entailment
1637	not_entailment
1638	entailment
1639	entailment
1640	entailment
1641	not_entailment
1642	not_entailment
1643	entailment
1644	entailment
1645	entailment
1646	entailment
1647	not_entailment
1648	entailment
1649	entailment
1650	entailment
1651	entailment
1652	entailment
1653	entailment
1654	not_entailment
1655	entailment
1656	entailment
1657	not_entailment
1658	entailment
1659	entailment
1660	not_entailment
1661	entailment
1662	entailment
1663	not_entailment
1664	entailment
1665	not_entailment
1666	entailment
1667	entailment
1668	entailment
1669	not_entailment
1670	entailment
1671	not_entailment
1672	entailment
1673	entailment
1674	not_entailment
1675	entailment
1676	entailment
1677	not_entailment
1678	not_entailment
1679	entailment
1680	not_entailment
1681	entailment
1682	entailment
1683	not_entailment
1684	entailment
1685	not_entailment
1686	entailment
1687	entailment
1688	entailment
1689	entailment
1690	entailment
1691	entailment
1692	entailment
1693	not_entailment
1694	entailment
1695	not_entailment
1696	not_entailment
1697	entailment
1698	entailment
1699	entailment
1700	not_entailment
1701	entailment
1702	entailment
1703	not_entailment
1704	entailment
1705	entailment
1706	entailment
1707	not_entailment
1708	entailment
1709	entailment
1710	entailment
1711	entailment
1712	entailment
1713	not_entailment
1714	entailment
1715	entailment
1716	entailment
1717	entailment
1718	entailment
1719	entailment
1720	not_entailment
1721	entailment
1722	entailment
1723	entailment
1724	entailment
1725	entailment
1726	not_entailment
1727	entailment
1728	entailment
1729	entailment
1730	not_entailment
1731	entailment
1732	not_entailment
1733	entailment
1734	entailment
1735	entailment
1736	not_entailment
1737	entailment
1738	entailment
1739	entailment
1740	entailment
1741	entailment
1742	entailment
1743	entailment
1744	not_entailment
1745	entailment
1746	not_entailment
1747	entailment
1748	entailment
1749	entailment
1750	entailment
1751	not_entailment
1752	not_entailment
1753	not_entailment
1754	entailment
1755	entailment
1756	entailment
1757	not_entailment
1758	entailment
1759	not_entailment
1760	entailment
1761	entailment
1762	not_entailment
1763	entailment
1764	entailment
1765	entailment
1766	not_entailment
1767	entailment
1768	entailment
1769	entailment
1770	not_entailment
1771	entailment
1772	not_entailment
1773	entailment
1774	entailment
1775	entailment
1776	entailment
1777	entailment
1778	entailment
1779	entailment
1780	entailment
1781	entailment
1782	entailment
1783	entailment
1784	entailment
1785	entailment
1786	entailment
1787	entailment
1788	entailment
1789	entailment
1790	entailment
1791	not_entailment
1792	entailment
1793	not_entailment
1794	entailment
1795	entailment
1796	entailment
1797	entailment
1798	entailment
1799	entailment
1800	not_entailment
1801	not_entailment
1802	not_entailment
1803	entailment
1804	entailment
1805	not_entailment
1806	entailment
1807	entailment
1808	entailment
1809	not_entailment
1810	entailment
1811	entailment
1812	entailment
1813	entailment
1814	entailment
1815	entailment
1816	entailment
1817	entailment
1818	entailment
1819	entailment
1820	not_entailment
1821	not_entailment
1822	entailment
1823	not_entailment
1824	entailment
1825	entailment
1826	not_entailment
1827	entailment
1828	entailment
1829	entailment
1830	entailment
1831	not_entailment
1832	not_entailment
1833	entailment
1834	entailment
1835	not_entailment
1836	entailment
1837	entailment
1838	not_entailment
1839	not_entailment
1840	entailment
1841	entailment
1842	not_entailment
1843	entailment
1844	entailment
1845	not_entailment
1846	entailment
1847	not_entailment
1848	not_entailment
1849	entailment
1850	not_entailment
1851	entailment
1852	not_entailment
1853	not_entailment
1854	entailment
1855	entailment
1856	not_entailment
1857	entailment
1858	entailment
1859	entailment
1860	entailment
1861	entailment
1862	not_entailment
1863	entailment
1864	entailment
1865	entailment
1866	not_entailment
1867	entailment
1868	entailment
1869	entailment
1870	entailment
1871	not_entailment
1872	entailment
1873	entailment
1874	entailment
1875	entailment
1876	not_entailment
1877	entailment
1878	entailment
1879	entailment
1880	entailment
1881	entailment
1882	entailment
1883	entailment
1884	not_entailment
1885	not_entailment
1886	entailment
1887	entailment
1888	not_entailment
1889	entailment
1890	entailment
1891	entailment
1892	entailment
1893	entailment
1894	entailment
1895	entailment
1896	entailment
1897	not_entailment
1898	not_entailment
1899	entailment
1900	entailment
1901	entailment
1902	entailment
1903	entailment
1904	not_entailment
1905	not_entailment
1906	entailment
1907	entailment
1908	entailment
1909	not_entailment
1910	entailment
1911	entailment
1912	not_entailment
1913	entailment
1914	entailment
1915	not_entailment
1916	not_entailment
1917	entailment
1918	entailment
1919	not_entailment
1920	entailment
1921	entailment
1922	entailment
1923	entailment
1924	entailment
1925	entailment
1926	not_entailment
1927	entailment
1928	not_entailment
1929	entailment
1930	entailment
1931	entailment
1932	not_entailment
1933	entailment
1934	entailment
1935	not_entailment
1936	entailment
1937	not_entailment
1938	entailment
1939	entailment
1940	not_entailment
1941	entailment
1942	entailment
1943	entailment
1944	entailment
1945	not_entailment
1946	not_entailment
1947	not_entailment
1948	entailment
1949	entailment
1950	not_entailment
1951	entailment
1952	entailment
1953	entailment
1954	entailment
1955	not_entailment
1956	entailment
1957	entailment
1958	entailment
1959	not_entailment
1960	entailment
1961	entailment
1962	entailment
1963	entailment
